user_id,nama,gender,usia,dob,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,lat,long,pendapatan_bulan,pengeluaran_bulan,tabungan_bulan,spending_ratio,payment_dominan,punya_smartphone,txn_per_month_min,txn_per_month_max,impulse_base,weekend_boost,night_prob
BUDU00001,Dhea Hidayat,P,37,1987-07-26,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,1733991,1577158,156833,0.91,Tunai,0,15,35,0.25,1.15,0.15
BUDU00002,Rahma Nugroho,P,40,1984-12-25,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,1003860,875535,128325,0.872,Tunai,1,8,20,0.15,1.05,0.08
BUDU00003,Wati Purnomo,P,18,2006-02-20,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,968717,876951,91766,0.905,Tunai,0,8,20,0.15,1.05,0.08
BUDU00004,Mira Kusuma,P,42,1982-02-10,D,Kelas D (Menengah Bawah),Pedagang Warung,Blitar,Kota Kecil,150000,-8.0279,112.1894,2842241,2262791,579450,0.796,GoPay,1,15,35,0.25,1.15,0.15
BUDU00005,Mulyadi Tobing,L,44,1980-01-25,B,Kelas B (Menengah Atas),Dokter,Tangerang,Metropolitan,2100000,-6.3767,106.1543,19829530,12537256,7292274,0.632,GoPay,1,40,90,0.55,1.5,0.35
BUDU00006,Kukuh Rajasa,L,46,1978-08-12,B,Kelas B (Menengah Atas),Engineer Senior,Denpasar,Kota Besar,900000,-8.5017,115.3785,11301674,7592501,3709173,0.672,GoPay,1,40,90,0.55,1.5,0.35
BUDU00007,Joko Susanto,L,38,1986-10-23,C,Kelas C (Menengah),Staf Administrasi,Bandung,Kota Besar,2500000,-6.7068,107.23,6083868,3692387,2391481,0.607,GoPay,1,25,60,0.4,1.3,0.25
BUDU00008,Dimas Purwanto,L,42,1982-07-07,C,Kelas C (Menengah),Guru Tetap,Semarang,Kota Besar,1800000,-6.5503,110.5192,4641531,3734267,907264,0.805,GoPay,1,25,60,0.4,1.3,0.25
BUDU00009,Maya Rajasa,P,44,1980-12-20,B,Kelas B (Menengah Atas),Wirausaha Menengah,Bekasi,Metropolitan,2700000,-6.6128,106.8459,18603266,9431554,9171712,0.507,Kartu Kredit,1,40,90,0.55,1.5,0.35
BUDU00010,Bunga Susanto,P,18,2006-08-27,C,Kelas C (Menengah),Guru Tetap,Purwokerto,Kota Kecil,290000,-7.6522,108.9866,4669644,3334751,1334893,0.714,OVO,1,25,60,0.4,1.3,0.25
BUDU00011,Hadi Iskandar,L,31,1993-01-05,C,Kelas C (Menengah),Sales,Tasikmalaya,Kota Kecil,700000,-6.874,108.1293,4139361,3310737,828624,0.8,OVO,1,25,60,0.4,1.3,0.25
BUDU00012,Putra Manurung,L,49,1975-07-04,D,Kelas D (Menengah Bawah),Admin Kantor,Tasikmalaya,Kota Kecil,700000,-7.1224,108.0861,1621279,1440982,180297,0.889,Transfer Bank,1,15,35,0.25,1.15,0.15
